iteration,avg_price,cash_and_stock,cash,stock_value,action,position
149,24.2746,1040823.04,499256.01,541567.02,0,1
150,23.5868,1025477.24,499256.01,526221.23,0,1
151,24.5498,1046961.35,499256.01,547705.34,0,1
152,24.7749,1051983.61,499256.01,552727.6,0,1
153,24.8374,1053378.69,499256.01,554122.67,0,1
154,24.8749,1054215.73,499256.01,554959.72,0,1
155,24.8999,1054773.76,499256.01,555517.75,0,1
156,25.1,1059237.99,499256.01,559981.98,0,1
157,24.8249,1053099.67,499256.01,553843.66,0,1
158,24.9875,1056726.86,499256.01,557470.85,0,1
159,26.3757,1087697.46,499256.01,588441.45,0,1
160,26.7634,1096346.91,499256.01,597090.9,0,1
161,25.9255,1077652.94,499256.01,578396.93,0,1
162,25.6628,1071793.64,499256.01,572537.63,0,1
163,25.7128,1072909.7,499256.01,573653.68,1,1
164,26.1881,1083512.24,499256.01,584256.23,1,1
165,26.2381,1084628.3,499256.01,585372.29,0,1
166,27.7639,1118668.06,499256.01,619412.05,1,1
167,28.0015,1123969.34,499256.01,624713.33,1,1
168,27.8764,1121179.19,499256.01,621923.18,1,1
169,29.1396,1149359.65,499256.01,650103.64,1,1
170,30.0275,1169169.68,499256.01,669913.66,1,1
171,30.4527,1178656.17,499256.01,679400.16,1,1
172,30.6653,1183399.41,499256.01,684143.4,1,1
173,29.7774,1163589.39,499256.01,664333.38,1,1
174,30.6903,1183957.44,499256.01,684701.43,1,1
175,30.7779,1185910.54,499256.01,686654.53,1,1
176,29.5273,1158009.1,499256.01,658753.09,1,1
177,29.8149,1164426.43,499256.01,665170.42,1,1
178,30.7779,1185910.54,499256.01,686654.53,1,1
179,30.1901,1172796.86,499256.01,673540.85,1,1
180,30.0775,1170285.73,499256.01,671029.72,1,1
181,30.3652,1176703.07,499256.01,677447.05,1,1
182,31.3031,1197629.15,499256.01,698373.14,1,1
183,31.0155,1191211.82,499256.01,691955.8,1,1
184,30.7529,1185352.51,499256.01,686096.5,1,1
185,30.3277,1175866.02,499256.01,676610.01,1,1
186,30.1651,1172238.84,499256.01,672982.82,1,1
187,30.065,1170006.72,499256.01,670750.71,1,1
188,29.5523,1158567.13,499256.01,659311.12,1,1
189,29.5648,1158846.14,499256.01,659590.13,1,1
190,30.3151,1175587.01,499256.01,676331.0,1,1
191,30.2151,1173354.89,499256.01,674098.88,1,1
192,29.8024,1164147.42,499256.01,664891.4,1,1
193,29.6148,1159962.2,499256.01,660706.19,0,1
194,28.6768,1139036.12,499256.01,639780.11,0,1
195,28.1015,1126201.45,499256.01,626945.44,0,1
196,28.6518,1138478.09,499256.01,639222.08,0,1
197,28.6893,1139315.13,499256.01,640059.12,0,1
198,28.8019,1141826.26,499256.01,642570.25,0,1
199,28.8644,1143221.33,499256.01,643965.32,0,1
200,29.1646,1149917.68,499256.01,650661.67,0,1
201,28.927,1144616.41,499256.01,645360.39,0,1
202,28.1766,1127875.54,499256.01,628619.53,0,1
203,27.7889,1119226.09,499256.01,619970.08,0,1
204,28.6643,1138757.1,499256.01,639501.09,0,1
205,29.3397,1153823.88,499256.01,654567.87,0,1
206,30.3402,1176145.04,499256.01,676889.03,1,1
207,30.6778,1183678.43,499256.01,684422.42,1,1
208,30.3277,1175866.02,499256.01,676610.01,1,1
209,30.4902,1179493.21,499256.01,680237.2,0,1
210,30.6653,1183399.41,499256.01,684143.4,0,1
211,29.8024,1164147.42,499256.01,664891.4,0,1
212,29.6148,1159962.2,499256.01,660706.19,0,1
213,29.2521,1151870.78,499256.01,652614.77,0,1
214,29.3397,1153823.88,499256.01,654567.87,0,1
215,29.4147,1155497.97,499256.01,656241.96,0,1
216,28.3642,1132060.76,499256.01,632804.74,0,1
217,28.2641,1129828.64,499256.01,630572.63,0,1
218,28.4517,1134013.86,499256.01,634757.85,0,1
219,28.5518,1136245.97,499256.01,636989.96,0,1
220,28.5893,1137083.02,499256.01,637827.0,0,1
221,28.5893,1137083.02,499256.01,637827.0,0,1
222,28.8144,1142105.28,499256.01,642849.26,0,1
223,28.3642,1132060.76,499256.01,632804.74,0,1
224,28.3892,1132618.79,499256.01,633362.77,0,1
225,28.2766,1130107.66,499256.01,630851.64,0,1
226,28.2766,1130107.66,499256.01,630851.64,0,1
227,27.7639,1118668.06,499256.01,619412.05,0,1
228,28.2891,1130386.67,499256.01,631130.66,0,1
229,28.4392,1133734.84,499256.01,634478.83,0,1
230,28.3142,1130944.7,499256.01,631688.69,0,1
231,28.8644,1143221.33,499256.01,643965.32,0,1
232,29.1146,1148801.62,499256.01,649545.61,0,1
233,30.0275,1169169.68,499256.01,669913.66,0,1
234,31.3532,1198745.21,499256.01,699489.19,1,1
235,32.0285,1213811.99,499256.01,714555.97,1,1
236,32.6413,1227483.69,499256.01,728227.68,1,1
237,33.5418,1247572.73,499256.01,748316.72,1,1
238,33.2791,1241713.43,499256.01,742457.42,1,1
239,33.2291,1240597.37,499256.01,741341.36,1,1
240,33.054,1236691.17,499256.01,737435.16,1,1
241,33.5793,1248409.78,499256.01,749153.76,1,1
242,33.9044,1255664.15,499256.01,756408.14,1,1
243,33.5793,1248409.78,499256.01,749153.76,1,1
244,33.3166,1242550.47,499256.01,743294.46,1,1
245,32.2286,1218276.22,499256.01,719020.21,1,1
246,32.2786,1219392.28,499256.01,720136.26,1,1
247,32.016,1213532.97,499256.01,714276.96,1,1
248,32.091,1215207.06,499256.01,715951.05,1,1
249,31.8284,1209347.76,499256.01,710091.74,1,1
250,32.1035,1215486.07,499256.01,716230.06,1,1
251,33.1666,1239202.3,499256.01,739946.29,1,1
252,32.7164,1229157.78,499256.01,729901.77,1,1
253,31.3657,1199024.22,499256.01,699768.21,1,1
254,31.1531,1194280.98,499256.01,695024.96,1,1
255,31.7909,1208510.71,499256.01,709254.7,1,1
