iteration,avg_price,cash_and_stock,cash,stock_value,action,position
161,54.9525,1641122.3,499265.08,1141857.22,1,1
162,52.126,1582392.27,499265.08,1083127.19,1,1
163,48.4742,1506511.0,499265.08,1007245.92,1,1
164,48.5743,1508589.94,499265.08,1009324.86,1,1
165,48.1491,1499754.45,499265.08,1000489.37,1,1
166,45.6353,1447521.11,499265.08,948256.03,1,1
167,45.9605,1454277.66,499265.08,955012.58,1,1
168,47.2111,1480264.4,499265.08,980999.32,1,1
169,46.936,1474547.32,499265.08,975282.23,1,1
170,46.8984,1473767.71,499265.08,974502.63,1,1
171,43.2841,1398666.04,499265.08,899400.96,1,1
172,44.097,1415557.42,499265.08,916292.34,1,1
173,43.5843,1404902.86,499265.08,905637.78,1,1
174,41.7584,1366962.22,499265.08,867697.14,1,1
175,41.9335,1370600.37,499265.08,871335.29,1,1
176,43.4092,1401264.72,499265.08,901999.64,1,1
177,42.8214,1389050.95,499265.08,889785.87,1,1
178,42.6213,1384893.07,499265.08,885627.99,1,1
179,42.6463,1385412.81,499265.08,886147.73,1,1
180,42.3962,1380215.46,499265.08,880950.38,1,1
181,44.5848,1425692.25,499265.08,926427.17,1,1
182,45.7604,1450119.78,499265.08,950854.7,1,1
183,45.6103,1447001.37,499265.08,947736.29,1,1
184,45.6228,1447261.24,499265.08,947996.16,1,1
185,44.6973,1428031.06,499265.08,928765.98,1,1
186,44.3972,1421794.24,499265.08,922529.16,1,1
187,43.2341,1397626.57,499265.08,898361.49,1,1
188,41.008,1351370.18,499265.08,852105.1,1,1
189,40.8704,1348511.64,499265.08,849246.56,1,1
190,40.9955,1351110.32,499265.08,851845.23,1,1
191,41.8334,1368521.43,499265.08,869256.35,1,1
192,42.021,1372419.44,499265.08,873154.36,1,1
193,45.1976,1438425.75,499265.08,939160.67,1,1
194,48.1991,1500793.92,499265.08,1001528.84,1,1
195,49.2496,1522622.78,499265.08,1023357.7,1,1
196,48.4617,1506251.13,499265.08,1006986.05,1,1
197,47.3362,1482863.07,499265.08,983597.99,1,1
198,47.0735,1477405.86,499265.08,978140.78,1,1
199,46.7859,1471428.91,499265.08,972163.83,1,1
200,46.6483,1468570.37,499265.08,969305.29,1,1
201,45.8104,1451159.25,499265.08,951894.17,1,1
202,48.1741,1500274.18,499265.08,1001009.1,1,1
203,49.7999,1534056.94,499265.08,1034791.86,1,1
